"country","group","Total_m","Total_f"
"AD","2534",1,0
"AE","14",5,5
"AE","1524",20,20
"AE","2534",5,5
"AE","3544",9,9
"AE","4554",5,5
"AE","5564",12,12
"AE","65",14,14
"AF","14",145,145
"AF","1524",642,642
"AF","2534",748,748
"AF","3544",488,488
"AF","4554",334,334
"AF","5564",193,193
"AF","65",116,116
"AG","14",1,1
"AG","1524",1,1
"AG","2534",1,1
"AG","65",1,1
"AL","14",5,5
"AL","1524",30,30
"AL","2534",31,31
"AL","3544",22,22
"AL","4554",32,32
"AL","5564",24,24
"AL","65",27,27
"AM","14",3,3
"AM","1524",176,176
"AM","2534",157,157
"AM","3544",155,155
"AM","4554",71,71
"AM","5564",34,34
"AM","65",25,25
"AN","2534",2,2
"AN","3544",2,2
"AN","5564",1,1
"AO","14",433,433
"AO","1524",2141,2141
"AO","2534",2094,2094
"AO","3544",1756,1756
"AO","4554",899,899
"AO","5564",512,512
"AO","65",314,314
"AR","14",218,218
"AR","1524",822,822
"AR","2534",1073,1073
"AR","3544",664,664
"AR","4554",649,649
"AR","5564",547,547
"AR","65",546,546
"AS","4554",2,2
"AS","5564",1,0
"AT","14",2,2
"AT","1524",28,28
"AT","2534",52,52
"AT","3544",71,71
"AT","4554",53,53
"AT","5564",29,29
"AT","65",63,63
"AU","14",3,3
"AU","1524",31,31
"AU","2534",54,54
"AU","3544",37,37
"AU","4554",39,39
"AU","5564",24,24
"AU","65",63,63
"AZ","1524",12,12
"AZ","2534",27,27
"AZ","3544",39,39
"AZ","4554",45,45
"AZ","5564",30,30
"BA","14",8,8
"BA","1524",86,86
"BA","2534",128,128
"BA","3544",128,128
"BA","4554",95,95
"BA","5564",106,106
"BA","65",201,201
"BB","2534",1,1
"BB","3544",2,2
"BD","14",751,751
"BD","1524",6669,6669
"BD","2534",8881,8881
"BD","3544",7997,7997
"BD","4554",6033,6033
"BD","5564",4445,4445
"BD","65",3207,3207
"BE","14",9,9
"BE","1524",35,35
"BE","2534",72,72
"BE","3544",58,58
"BE","4554",59,59
"BE","5564",45,45
"BE","65",83,83
"BF","14",19,19
"BF","1524",150,150
"BF","2534",402,402
"BF","3544",353,353
"BF","4554",178,178
"BF","5564",106,106
"BF","65",79,79
"BG","1524",24,24
"BG","2534",30,30
"BG","3544",27,27
"BG","4554",6,6
"BG","5564",13,13
"BG","65",16,16
"BH","1524",1,1
"BH","2534",5,5
"BH","3544",2,2
"BH","4554",6,6
"BH","5564",4,4
"BH","65",5,5
"BJ","14",55,55
"BJ","1524",516,516
"BJ","2534",703,703
"BJ","3544",476,476
"BJ","4554",289,289
"BJ","5564",148,148
"BJ","65",99,99
"BN","1524",10,10
"BN","2534",10,10
"BN","3544",24,24
"BN","4554",11,11
"BN","5564",10,10
"BN","65",19,19
"BO","14",357,357
"BO","1524",2013,2013
"BO","2534",1385,1385
"BO","3544",852,852
"BO","4554",720,720
"BO","5564",532,532
"BO","65",599,599
"BR","14",3753,3753
"BR","1524",13987,13987
"BR","2534",18783,18783
"BR","3544",17301,17301
"BR","4554",12205,12205
"BR","5564",7469,7469
"BR","65",6990,6990
"BS","14",3,3
"BS","1524",7,7
"BS","2534",14,14
"BS","3544",17,17
"BS","4554",6,6
"BS","5564",6,6
"BS","65",3,3
"BT","14",13,13
"BT","1524",122,122
"BT","2534",75,75
"BT","3544",61,61
"BT","4554",47,47
"BT","5564",15,15
"BT","65",4,4
"BW","14",62,62
"BW","1524",520,520
"BW","2534",1074,1074
"BW","3544",750,750
"BW","4554",365,365
"BW","5564",192,192
"BW","65",132,132
"BZ","14",2,2
"BZ","1524",7,7
"BZ","2534",8,8
"BZ","3544",4,4
"BZ","4554",10,10
"BZ","5564",4,4
"BZ","65",9,9
"CA","14",9,9
"CA","1524",67,67
"CA","2534",85,85
"CA","3544",76,76
"CA","4554",66,66
"CA","5564",44,44
"CA","65",145,145
"CD","14",1203,1203
"CD","1524",8470,8470
"CD","2534",10979,10979
"CD","3544",7460,7460
"CD","4554",4273,4273
"CD","5564",2150,2150
"CD","65",953,953
"CH","14",1,1
"CH","1524",14,14
"CH","2534",30,30
"CH","3544",18,18
"CH","4554",9,9
"CH","5564",6,6
"CH","65",14,14
"CL","14",16,16
"CL","1524",147,147
"CL","2534",256,256
"CL","3544",268,268
"CL","4554",204,204
"CL","5564",190,190
"CL","65",209,209
"CM","14",104,104
"CM","1524",886,886
"CM","2534",1372,1372
"CM","3544",877,877
"CM","4554",423,423
"CM","5564",190,190
"CM","65",108,108
"CN","14",2551,2551
"CN","1524",33647,33647
"CN","2534",47895,47895
"CN","3544",37583,37583
"CN","4554",35492,35492
"CN","5564",28531,28531
"CN","65",28067,28067
"CO","14",440,440
"CO","1524",1350,1350
"CO","2534",1788,1788
"CO","3544",1486,1486
"CO","4554",1124,1124
"CO","5564",914,914
"CO","65",1256,1256
"CR","14",27,27
"CR","1524",52,52
"CR","2534",86,86
"CR","3544",86,86
"CR","4554",59,59
"CR","5564",51,51
"CR","65",73,73
"CU","14",2,2
"CU","1524",80,80
"CU","2534",189,189
"CU","3544",116,116
"CU","4554",96,96
"CU","5564",78,78
"CU","65",114,114
"CZ","1524",22,22
"CZ","2534",44,44
"CZ","3544",61,61
"CZ","4554",99,99
"CZ","5564",68,68
"CZ","65",116,116
"DJ","14",29,29
"DJ","1524",449,449
"DJ","2534",503,503
"DJ","3544",186,186
"DJ","4554",98,98
"DJ","5564",77,77
"DJ","65",52,52
"DK","14",10,10
"DK","1524",26,26
"DK","2534",35,35
"DK","3544",38,38
"DK","4554",22,22
"DK","5564",18,18
"DK","65",22,22
"DO","14",138,138
"DO","1524",727,727
"DO","2534",806,806
"DO","3544",556,556
"DO","4554",288,288
"DO","5564",204,204
"DO","65",188,188
"DZ","14",95,95
"DZ","1524",1932,1932
"DZ","2534",2809,2809
"DZ","3544",1356,1356
"DZ","4554",805,805
"DZ","5564",442,442
"DZ","65",611,611
"EE","1524",15,15
"EE","2534",42,42
"EE","3544",67,67
"EE","4554",67,67
"EE","5564",39,39
"EE","65",25,25
"EG","14",76,76
"EG","1524",1098,1098
"EG","2534",1170,1170
"EG","3544",924,924
"EG","4554",687,687
"EG","5564",419,419
"EG","65",206,206
"ER","14",19,19
"ER","1524",170,170
"ER","2534",162,162
"ER","3544",128,128
"ER","4554",53,53
"ER","5564",37,37
"ER","65",28,28
"ET","14",1952,1952
"ET","1524",9794,9794
"ET","2534",9611,9611
"ET","3544",5187,5187
"ET","4554",2471,2471
"ET","5564",976,976
"ET","65",519,519
"FI","1524",4,4
"FI","2534",13,13
"FI","3544",25,25
"FI","4554",23,23
"FI","5564",34,34
"FI","65",102,102
"FJ","1524",15,15
"FJ","2534",11,11
"FJ","3544",20,20
"FJ","4554",6,6
"FJ","5564",8,8
"FJ","65",2,2
"FM","14",4,4
"FM","1524",5,5
"FM","2534",1,1
"FM","3544",2,2
"FM","5564",1,1
"FM","65",2,2
"FR","14",28,28
"FR","1524",244,244
"FR","2534",375,375
"FR","3544",336,336
"FR","4554",257,257
"FR","5564",168,168
"FR","65",399,399
"GB","14",17,17
"GB","1524",181,181
"GB","2534",244,244
"GB","3544",156,156
"GB","4554",118,118
"GB","5564",106,106
"GB","65",205,205
"GE","14",5,5
"GE","1524",125,125
"GE","2534",148,148
"GE","3544",146,146
"GE","4554",80,80
"GE","5564",55,55
"GE","65",33,33
"GH","14",147,147
"GH","1524",1006,1006
"GH","2534",2057,2057
"GH","3544",1681,1681
"GH","4554",1149,1149
"GH","5564",674,674
"GH","65",602,602
"GN","14",105,105
"GN","1524",865,865
"GN","2534",1306,1306
"GN","3544",815,815
"GN","4554",396,396
"GN","5564",285,285
"GN","65",148,148
"GR","14",1,1
"GR","1524",12,12
"GR","2534",31,31
"GR","3544",42,42
"GR","4554",29,29
"GR","5564",25,25
"GR","65",71,71
"GT","14",77,77
"GT","1524",419,419
"GT","2534",403,403
"GT","3544",391,391
"GT","4554",312,312
"GT","5564",199,199
"GT","65",251,251
"GU","14",2,2
"GU","1524",4,4
"GU","2534",7,7
"GU","3544",8,8
"GU","4554",14,14
"GU","5564",8,8
"GU","65",11,11
"GW","14",6,6
"GW","1524",82,82
"GW","2534",138,138
"GW","3544",127,127
"GW","4554",88,88
"GW","5564",54,54
"GW","65",31,31
"GY","14",5,5
"GY","1524",31,31
"GY","2534",27,27
"GY","3544",21,21
"GY","4554",12,12
"GY","5564",11,11
"GY","65",12,12
"HK","14",9,9
"HK","1524",143,143
"HK","2534",217,217
"HK","3544",246,246
"HK","4554",255,255
"HK","5564",281,281
"HK","65",789,789
"HN","14",55,55
"HN","1524",144,144
"HN","2534",640,640
"HN","3544",504,504
"HN","4554",547,547
"HN","5564",374,374
"HN","65",81,81
"HT","14",163,163
"HT","1524",1750,1750
"HT","2534",1755,1755
"HT","3544",1126,1126
"HT","4554",625,625
"HT","5564",279,279
"HT","65",189,189
"HU","14",1,1
"HU","1524",15,15
"HU","2534",41,41
"HU","3544",104,104
"HU","4554",126,126
"HU","5564",68,68
"HU","65",57,57
"IE","1524",23,23
"IE","2534",15,15
"IE","3544",20,20
"IE","4554",12,12
"IE","5564",11,11
"IE","65",27,27
"IL","14",2,2
"IL","1524",27,27
"IL","2534",43,43
"IL","3544",24,24
"IL","4554",27,27
"IL","5564",17,17
"IL","65",56,56
"IN","14",3838,3838
"IN","1524",35458,35458
"IN","2534",48377,48377
"IN","3544",42597,42597
"IN","4554",31746,31746
"IN","5564",19902,19902
"IN","65",11231,11231
"IQ","14",58,58
"IQ","1524",965,965
"IQ","2534",558,558
"IQ","3544",433,433
"IQ","4554",339,339
"IQ","5564",238,238
"IQ","65",188,188
"IR","14",106,106
"IR","1524",1031,1031
"IR","2534",877,877
"IR","3544",709,709
"IR","4554",615,615
"IR","5564",751,751
"IR","65",1289,1289
"IS","2534",0,1
"IT","14",18,18
"IT","1524",101,101
"IT","2534",154,154
"IT","3544",108,108
"IT","4554",71,71
"IT","5564",73,73
"IT","65",151,151
"JM","14",1,1
"JM","1524",14,14
"JM","2534",21,21
"JM","3544",20,20
"JM","4554",17,17
"JM","5564",11,11
"JM","65",6,6
"JO","1524",16,16
"JO","2534",25,25
"JO","3544",14,14
"JO","4554",11,11
"JO","5564",16,16
"JO","65",7,7
"JP","14",7,7
"JP","1524",468,468
"JP","2534",1036,1036
"JP","3544",889,889
"JP","4554",1786,1786
"JP","5564",1893,1893
"JP","65",5774,5774
"KE","14",680,680
"KE","1524",7655,7655
"KE","2534",11016,11016
"KE","3544",5422,5422
"KE","4554",2461,2461
"KE","5564",977,977
"KE","65",562,562
"KG","14",10,10
"KG","1524",256,256
"KG","2534",373,373
"KG","3544",305,305
"KG","4554",156,156
"KG","5564",82,82
"KG","65",75,75
"KH","14",64,64
"KH","1524",976,976
"KH","2534",2480,2480
"KH","3544",3267,3267
"KH","4554",3254,3254
"KH","5564",2832,2832
"KH","65",1950,1950
"KI","14",4,4
"KI","1524",14,14
"KI","2534",9,9
"KI","3544",6,6
"KI","4554",7,7
"KI","5564",9,9
"KI","65",5,5
"KM","14",1,1
"KM","1524",27,27
"KM","2534",13,13
"KM","3544",26,26
"KM","4554",10,10
"KM","5564",5,5
"KM","65",5,5
"KP","14",460,460
"KP","1524",1611,1611
"KP","2534",2629,2629
"KP","3544",4931,4931
"KP","4554",4043,4043
"KP","5564",1758,1758
"KP","65",1008,1008
"KR","14",44,44
"KR","1524",1367,1367
"KR","2534",1629,1629
"KR","3544",1381,1381
"KR","4554",1073,1073
"KR","5564",1026,1026
"KR","65",1696,1696
"KW","14",1,1
"KW","1524",21,21
"KW","2534",68,68
"KW","3544",44,44
"KW","4554",26,26
"KW","5564",14,14
"KW","65",6,6
"KY","2534",3,0
"KY","3544",1,0
"KY","5564",1,0
"KZ","14",120,120
"KZ","1524",2056,2056
"KZ","2534",2488,2488
"KZ","3544",1978,1978
"KZ","4554",1198,1198
"KZ","5564",641,641
"KZ","65",422,422
"LA","14",17,17
"LA","1524",151,151
"LA","2534",223,223
"LA","3544",297,297
"LA","4554",323,323
"LA","5564",268,268
"LA","65",247,247
"LB","14",9,9
"LB","1524",47,47
"LB","2534",54,54
"LB","3544",29,29
"LB","4554",22,22
"LB","5564",21,21
"LB","65",20,20
"LC","1524",1,1
"LC","3544",2,2
"LC","5564",2,2
"LC","65",2,2
"LK","14",48,48
"LK","1524",578,578
"LK","2534",723,723
"LK","3544",871,871
"LK","4554",995,995
"LK","5564",628,628
"LK","65",473,473
"LR","14",33,33
"LR","1524",273,273
"LR","2534",345,345
"LR","3544",215,215
"LR","4554",80,80
"LR","5564",33,33
"LR","65",42,42
"LS","14",19,19
"LS","1524",387,387
"LS","2534",794,794
"LS","3544",712,712
"LS","4554",478,478
"LS","5564",234,234
"LS","65",105,105
"LT","14",1,1
"LT","1524",58,58
"LT","2534",134,134
"LT","3544",184,184
"LT","4554",187,187
"LT","5564",96,96
"LT","65",116,116
"LV","14",2,2
"LV","1524",78,78
"LV","2534",147,147
"LV","3544",151,151
"LV","4554",139,139
"LV","5564",71,71
"LV","65",49,49
"LY","14",11,11
"LY","1524",144,144
"LY","2534",274,274
"LY","3544",110,110
"LY","4554",60,60
"LY","5564",45,45
"LY","65",54,54
"MA","14",269,269
"MA","1524",3591,3591
"MA","2534",3544,3544
"MA","3544",2377,2377
"MA","4554",1253,1253
"MA","5564",891,891
"MA","65",947,947
"MD","14",3,3
"MD","1524",68,68
"MD","2534",63,63
"MD","3544",81,81
"MD","4554",36,36
"MD","5564",27,27
"MD","65",12,12
"MH","14",10,10
"MH","1524",12,12
"MH","2534",7,7
"MH","3544",1,1
"MH","4554",5,5
"MH","5564",7,7
"MH","65",3,3
"MK","14",6,6
"MK","1524",23,23
"MK","2534",28,28
"MK","3544",37,37
"MK","4554",24,24
"MK","5564",25,25
"MK","65",24,24
"ML","14",37,37
"ML","1524",380,380
"ML","2534",662,662
"ML","3544",548,548
"ML","4554",403,403
"ML","5564",310,310
"ML","65",187,187
"MM","14",160,160
"MM","1524",2499,2499
"MM","2534",4228,4228
"MM","3544",4178,4178
"MM","4554",3148,3148
"MM","5564",1827,1827
"MM","65",1214,1214
"MN","14",38,38
"MN","1524",381,381
"MN","2534",473,473
"MN","3544",284,284
"MN","4554",109,109
"MN","5564",64,64
"MN","65",40,40
"MO","1524",20,20
"MO","2534",12,12
"MO","3544",31,31
"MO","4554",28,28
"MO","5564",12,12
"MO","65",30,30
"MP","14",1,1
"MP","1524",14,14
"MP","2534",25,25
"MP","3544",16,16
"MP","4554",12,12
"MP","5564",4,4
"MP","65",3,3
"MT","1524",1,0
"MT","3544",1,0
"MT","4554",1,0
"MT","65",1,0
"MU","14",3,3
"MU","1524",11,11
"MU","2534",17,17
"MU","3544",26,26
"MU","4554",25,25
"MU","5564",21,21
"MU","65",12,12
"MV","1524",20,20
"MV","2534",14,14
"MV","3544",7,7
"MV","4554",9,9
"MV","5564",10,10
"MV","65",5,5
"MW","14",116,116
"MW","1524",1691,1691
"MW","2534",2957,2957
"MW","3544",1944,1944
"MW","4554",986,986
"MW","5564",393,393
"MW","65",178,178
"MX","14",390,390
"MX","1524",1742,1742
"MX","2534",2215,2215
"MX","3544",1860,1860
"MX","4554",2067,2067
"MX","5564",1567,1567
"MX","65",1835,1835
"MY","14",73,73
"MY","1524",1158,1158
"MY","2534",1702,1702
"MY","3544",1601,1601
"MY","4554",1275,1275
"MY","5564",1170,1170
"MY","65",1177,1177
"NC","14",2,2
"NC","1524",9,9
"NC","2534",4,4
"NC","3544",5,5
"NC","4554",5,5
"NC","5564",5,5
"NC","65",8,8
"NE","14",60,60
"NE","1524",393,393
"NE","2534",380,380
"NE","3544",609,609
"NE","4554",403,403
"NE","5564",214,214
"NE","65",87,87
"NG","14",396,396
"NG","1524",5107,5107
"NG","2534",5598,5598
"NG","3544",2946,2946
"NG","4554",1767,1767
"NG","5564",910,910
"NG","65",694,694
"NI","14",52,52
"NI","1524",382,382
"NI","2534",347,347
"NI","3544",245,245
"NI","4554",184,184
"NI","5564",110,110
"NI","65",151,151
"NL","14",4,4
"NL","1524",63,63
"NL","2534",85,85
"NL","3544",57,57
"NL","4554",34,34
"NL","5564",15,15
"NL","65",31,31
"NO","14",1,1
"NO","1524",4,4
"NO","2534",10,10
"NO","3544",3,0
"NO","4554",6,0
"NO","5564",4,4
"NO","65",9,9
"NP","14",346,346
"NP","1524",3171,3171
"NP","2534",2841,2841
"NP","3544",2546,2546
"NP","4554",2066,2066
"NP","5564",1713,1713
"NP","65",1000,1000
"NR","4554",2,2
"NR","5564",0,1
"NZ","14",1,1
"NZ","1524",12,12
"NZ","2534",11,11
"NZ","3544",11,11
"NZ","4554",8,8
"NZ","5564",14,14
"NZ","65",17,17
"OM","14",3,3
"OM","1524",25,25
"OM","2534",14,14
"OM","3544",18,18
"OM","4554",17,17
"OM","5564",20,20
"OM","65",17,17
"PA","14",9,9
"PA","1524",87,87
"PA","2534",112,112
"PA","3544",96,96
"PA","4554",56,56
"PA","5564",39,39
"PA","65",42,42
"PE","14",1185,1185
"PE","1524",8976,8976
"PE","2534",5347,5347
"PE","3544",2702,2702
"PE","4554",1650,1650
"PE","5564",1300,1300
"PE","65",1420,1420
"PF","14",2,2
"PF","1524",7,7
"PF","2534",4,4
"PF","3544",4,4
"PF","4554",5,5
"PF","5564",4,4
"PF","65",3,3
"PG","14",14,14
"PG","1524",164,164
"PG","2534",115,115
"PG","3544",51,51
"PG","4554",36,36
"PG","5564",17,17
"PG","65",6,6
"PK","14",185,185
"PK","1524",1089,1089
"PK","2534",803,803
"PK","3544",530,530
"PK","4554",395,395
"PK","5564",256,256
"PK","65",186,186
"PL","14",2,2
"PL","1524",198,198
"PL","2534",461,461
"PL","3544",1023,1023
"PL","4554",952,952
"PL","5564",443,443
"PL","65",855,855
"PR","14",1,1
"PR","1524",5,5
"PR","2534",9,9
"PR","3544",22,22
"PR","4554",16,16
"PR","5564",11,11
"PR","65",17,17
"PT","14",13,13
"PT","1524",261,261
"PT","2534",529,529
"PT","3544",436,436
"PT","4554",249,249
"PT","5564",165,165
"PT","65",204,204
"PY","14",28,28
"PY","1524",181,181
"PY","2534",189,189
"PY","3544",146,146
"PY","4554",127,127
"PY","5564",110,110
"PY","65",117,117
"QA","1524",7,7
"QA","2534",23,23
"QA","3544",12,12
"QA","4554",8,8
"QA","5564",2,2
"QA","65",1,1
"RO","14",99,99
"RO","1524",1533,1533
"RO","2534",2274,2274
"RO","3544",2283,2283
"RO","4554",2025,2025
"RO","5564",1123,1123
"RO","65",854,854
"RU","14",2,2
"RU","1524",338,338
"RU","2534",599,599
"RU","3544",670,670
"RU","4554",440,440
"RU","5564",182,182
"RU","65",98,98
"RW","14",260,260
"RW","1524",862,862
"RW","2534",1447,1447
"RW","3544",1133,1133
"RW","4554",502,502
"RW","5564",181,181
"RW","65",70,70
"SA","14",28,28
"SA","1524",303,303
"SA","2534",450,450
"SA","3544",292,292
"SA","4554",209,209
"SA","5564",136,136
"SA","65",177,177
"SB","14",11,11
"SB","1524",28,28
"SB","2534",17,17
"SB","3544",15,15
"SB","4554",15,15
"SB","5564",15,15
"SB","65",8,8
"SC","2534",3,3
"SC","3544",4,4
"SC","4554",2,2
"SC","5564",2,2
"SD","14",1602,1602
"SD","1524",1953,1953
"SD","2534",2645,2645
"SD","3544",2256,2256
"SD","4554",1890,1890
"SD","5564",965,965
"SD","65",1000,1000
"SE","14",1,1
"SE","1524",18,18
"SE","2534",18,18
"SE","3544",22,22
"SE","4554",13,13
"SE","5564",6,6
"SE","65",40,40
"SG","14",2,2
"SG","1524",17,17
"SG","2534",17,17
"SG","3544",41,41
"SG","4554",60,60
"SG","5564",31,31
"SG","65",80,80
"SI","1524",6,6
"SI","2534",20,20
"SI","3544",39,39
"SI","4554",26,26
"SI","5564",17,17
"SI","65",37,37
"SK","14",2,2
"SK","1524",11,11
"SK","2534",24,24
"SK","3544",38,38
"SK","4554",55,55
"SK","5564",20,20
"SK","65",86,86
"SL","14",45,45
"SL","1524",536,536
"SL","2534",784,784
"SL","3544",586,586
"SL","4554",282,282
"SL","5564",162,162
"SL","65",77,77
"SM","65",1,0
"SN","14",137,137
"SN","1524",1293,1293
"SN","2534",1837,1837
"SN","3544",1233,1233
"SN","4554",687,687
"SN","5564",386,386
"SN","65",250,250
"SO","14",198,198
"SO","1524",1094,1094
"SO","2534",1043,1043
"SO","3544",627,627
"SO","4554",364,364
"SO","5564",267,267
"SO","65",183,183
"SR","14",3,3
"SR","1524",9,9
"SR","2534",12,12
"SR","3544",6,6
"SR","4554",2,2
"SR","5564",1,1
"SR","65",5,5
"ST","14",4,4
"ST","1524",12,12
"ST","2534",26,26
"ST","3544",9,9
"ST","4554",14,14
"ST","5564",7,7
"ST","65",25,25
"SV","14",41,41
"SV","1524",180,180
"SV","2534",200,200
"SV","3544",177,177
"SV","4554",155,155
"SV","5564",101,101
"SV","65",154,154
"SY","14",31,31
"SY","1524",554,554
"SY","2534",390,390
"SY","3544",178,178
"SY","4554",132,132
"SY","5564",114,114
"SY","65",83,83
"SZ","14",21,21
"SZ","1524",328,328
"SZ","2534",650,650
"SZ","3544",311,311
"SZ","4554",200,200
"SZ","5564",61,61
"SZ","65",22,22
"TG","14",17,17
"TG","1524",208,208
"TG","2534",292,292
"TG","3544",194,194
"TG","4554",145,145
"TG","5564",72,72
"TG","65",54,54
"TH","14",59,59
"TH","1524",1483,1483
"TH","2534",3605,3605
"TH","3544",3160,3160
"TH","4554",2990,2990
"TH","5564",2924,2924
"TH","65",3534,3534
"TM","14",35,35
"TM","1524",176,176
"TM","2534",325,325
"TM","3544",220,220
"TM","4554",158,158
"TM","5564",65,65
"TM","65",38,38
"TN","14",23,23
"TN","1524",207,207
"TN","2534",267,267
"TN","3544",199,199
"TN","4554",130,130
"TN","5564",86,86
"TN","65",159,159
"TO","1524",3,3
"TO","2534",2,2
"TO","3544",2,2
"TO","5564",2,2
"TO","65",6,6
"TT","1524",12,12
"TT","2534",25,25
"TT","3544",36,36
"TT","4554",22,22
"TT","5564",9,9
"TT","65",11,11
"TZ","14",457,457
"TZ","1524",4463,4463
"TZ","2534",8262,8262
"TZ","3544",5168,5168
"TZ","4554",2890,2890
"TZ","5564",1696,1696
"TZ","65",1103,1103
"UA","14",62,62
"UA","1524",1180,1180
"UA","2534",2142,2142
"UA","3544",2832,2832
"UA","4554",2305,2305
"UA","5564",1280,1280
"UA","65",937,937
"UG","14",683,683
"UG","1524",3160,3160
"UG","2534",6279,6279
"UG","3544",3989,3989
"UG","4554",1950,1950
"UG","5564",923,923
"UG","65",558,558
"US","14",20,20
"US","1524",611,611
"US","2534",978,978
"US","3544",1255,1255
"US","4554",1157,1157
"US","5564",729,729
"US","65",1134,1134
"UY","14",2,2
"UY","1524",64,64
"UY","2534",70,70
"UY","3544",66,66
"UY","4554",54,54
"UY","5564",42,42
"UY","65",50,50
"UZ","14",17,17
"UZ","1524",612,612
"UZ","2534",1296,1296
"UZ","3544",798,798
"UZ","4554",559,559
"UZ","5564",325,325
"UZ","65",218,218
"VC","14",1,1
"VC","1524",1,1
"VC","3544",4,4
"VC","4554",2,2
"VC","65",1,1
"VG","5564",1,0
"VN","14",115,115
"VN","1524",3701,3701
"VN","2534",8467,8467
"VN","3544",10963,10963
"VN","4554",9307,9307
"VN","5564",7997,7997
"VN","65",12619,12619
"VU","14",7,7
"VU","1524",10,10
"VU","2534",20,20
"VU","3544",8,8
"VU","4554",13,13
"VU","5564",8,8
"VU","65",3,3
"WS","1524",5,5
"WS","2534",2,2
"WS","3544",2,2
"WS","4554",1,1
"WS","5564",2,2
"WS","65",1,1
"YE","14",271,271
"YE","1524",1588,1588
"YE","2534",1316,1316
"YE","3544",1010,1010
"YE","4554",659,659
"YE","5564",502,502
"YE","65",219,219
"ZA","14",238,238
"ZA","1524",2006,2006
"ZA","2534",3715,3715
"ZA","3544",3068,3068
"ZA","4554",1569,1569
"ZA","5564",602,602
"ZA","65",292,292
"ZM","14",499,499
"ZM","1524",3107,3107
"ZM","2534",3728,3728
"ZM","3544",4350,4350
"ZM","4554",621,621
"ZM","5564",373,373
"ZM","65",249,249
